Income,Home,Emp_length,Intent,Amount,Rate,Percent_income,Cred_length
120000,MORTGAGE,6.0,MEDICAL,4500,5.99,0.04,5
150000,RENT,1.0,MEDICAL,12500,14.35,0.08,8
24600,RENT,5.0,EDUCATION,2000,13.61,0.08,5
90000,MORTGAGE,3.0,EDUCATION,3000,7.14,0.03,14
38400,RENT,6.0,DEBTCONSOLIDATION,9000,7.9,0.23,2
54252,MORTGAGE,6.0,PERSONAL,3500,6.39,0.06,4
92000,RENT,7.0,EDUCATION,9000,6.92,0.1,2
32004,RENT,0.0,DEBTCONSOLIDATION,7500,13.47,0.23,10
52500,MORTGAGE,0.0,PERSONAL,15250,9.63,0.29,2
48000,OWN,0.0,VENTURE,1500,16.29,0.03,3
96000,MORTGAGE,10.0,VENTURE,8000,7.29,0.08,4
55000,RENT,2.0,DEBTCONSOLIDATION,3200,12.98,0.06,7
86000,RENT,0.0,PERSONAL,6000,7.14,0.07,17
49000,RENT,6.0,MEDICAL,5600,6.03,0.11,6
121000,RENT,8.0,PERSONAL,20000,8.9,0.17,4
52000,MORTGAGE,6.0,HOMEIMPROVEMENT,12000,15.65,0.23,9
63000,RENT,1.0,EDUCATION,18000,10.99,0.29,3
124000,MORTGAGE,4.0,MEDICAL,16000,6.03,0.13,4
140000,MORTGAGE,3.0,PERSONAL,15000,15.58,0.11,3
32000,OWN,2.0,MEDICAL,3000,6.99,0.09,4
108000,MORTGAGE,7.0,DEBTCONSOLIDATION,4500,7.14,0.04,3
24000,OWN,1.0,VENTURE,8000,7.51,0.33,3
45000,RENT,2.0,EDUCATION,13250,7.9,0.29,9
30000,RENT,0.0,PERSONAL,10000,12.68,0.33,9
41277,RENT,3.0,EDUCATION,3000,10.0,0.07,8
49000,MORTGAGE,6.0,VENTURE,4000,8.94,0.08,2
88000,RENT,4.0,VENTURE,10000,7.51,0.11,7
27568,OTHER,0.0,MEDICAL,3500,14.42,0.13,4
90096,MORTGAGE,0.0,EDUCATION,10150,11.97,0.11,3
110000,RENT,5.0,MEDICAL,18000,9.91,0.16,5
36000,RENT,0.0,EDUCATION,3000,13.92,0.08,3
54200,RENT,4.0,VENTURE,7500,12.61,0.14,10
68000,RENT,4.0,VENTURE,11000,11.49,0.16,5
30000,MORTGAGE,6.0,EDUCATION,10000,7.66,0.33,3
43000,MORTGAGE,1.0,PERSONAL,4000,17.49,0.09,3
65000,MORTGAGE,5.0,VENTURE,16500,7.49,0.25,3
21000,RENT,7.0,EDUCATION,6000,12.42,0.29,6
30000,RENT,6.0,VENTURE,19750,11.14,0.66,4
18000,OWN,1.0,MEDICAL,5400,15.31,0.3,2
137000,MORTGAGE,0.0,EDUCATION,11400,9.63,0.08,2
93218,MORTGAGE,5.0,MEDICAL,12000,11.49,0.13,3
61455,MORTGAGE,0.0,MEDICAL,15000,16.82,0.21,3
41000,MORTGAGE,3.0,DEBTCONSOLIDATION,9000,9.88,0.22,2
25200,RENT,5.0,PERSONAL,11500,14.46,0.46,6
104000,MORTGAGE,7.0,DEBTCONSOLIDATION,35000,7.49,0.34,8
54000,MORTGAGE,8.0,VENTURE,3000,5.42,0.06,2
55000,MORTGAGE,4.0,VENTURE,20000,6.62,0.36,6
45756,RENT,8.0,MEDICAL,10000,7.29,0.22,2
139008,MORTGAGE,2.0,EDUCATION,15000,13.47,0.11,6
95000,MORTGAGE,10.0,HOMEIMPROVEMENT,15000,15.96,0.16,3
127500,MORTGAGE,7.0,HOMEIMPROVEMENT,10000,7.51,0.08,3
58000,RENT,1.0,VENTURE,8000,11.36,0.14,7
60000,RENT,3.0,HOMEIMPROVEMENT,10250,6.62,0.17,4
70000,MORTGAGE,0.0,PERSONAL,5600,13.57,0.08,8
148000,RENT,8.0,PERSONAL,10000,13.55,0.07,9
88500,MORTGAGE,3.0,EDUCATION,12000,7.51,0.14,4
61498,MORTGAGE,5.0,MEDICAL,5000,11.36,0.08,3
95000,RENT,3.0,MEDICAL,10000,7.88,0.11,13
24000,RENT,1.0,PERSONAL,3000,11.14,0.13,6
38400,RENT,5.0,PERSONAL,1000,14.22,0.03,3
60000,RENT,0.0,VENTURE,4000,7.88,0.07,5
42500,RENT,0.0,EDUCATION,3500,11.86,0.08,4
54000,RENT,1.0,EDUCATION,10000,14.42,0.19,3
94000,MORTGAGE,8.0,PERSONAL,15000,6.17,0.16,2
60000,RENT,1.0,VENTURE,10000,15.99,0.17,14
55000,RENT,10.0,MEDICAL,8400,8.94,0.15,3
98000,RENT,2.0,HOMEIMPROVEMENT,20000,6.91,0.2,7
34000,RENT,10.0,HOMEIMPROVEMENT,20000,8.88,0.59,4
7200,RENT,0.0,VENTURE,1000,11.14,0.14,13
51850,RENT,2.0,MEDICAL,3000,14.96,0.05,7
38896,RENT,2.0,PERSONAL,7200,13.48,0.19,3
30000,RENT,2.0,MEDICAL,2000,10.38,0.07,3
30000,RENT,7.0,MEDICAL,7200,8.9,0.24,2
44000,MORTGAGE,2.0,VENTURE,4000,15.27,0.09,2
69000,RENT,1.0,PERSONAL,8000,13.99,0.12,2
153000,MORTGAGE,9.0,EDUCATION,7500,11.71,0.05,3
59000,RENT,0.0,PERSONAL,2500,18.78,0.04,13
50004,RENT,9.0,HOMEIMPROVEMENT,8000,15.23,0.16,9
85000,MORTGAGE,4.0,PERSONAL,35000,9.99,0.41,5
52000,MORTGAGE,5.0,VENTURE,6000,7.9,0.12,2
58650,MORTGAGE,7.0,MEDICAL,12000,20.17,0.17,10
55000,RENT,1.0,EDUCATION,17000,7.88,0.31,5
75000,RENT,7.0,VENTURE,8800,14.59,0.12,3
27600,RENT,3.0,VENTURE,9000,13.98,0.33,3
48000,OWN,6.0,EDUCATION,5000,10.08,0.1,3
50000,RENT,2.0,VENTURE,10800,10.75,0.22,3
51000,RENT,5.0,EDUCATION,20000,12.53,0.39,3
68000,MORTGAGE,2.0,MEDICAL,3600,6.54,0.05,3
67200,MORTGAGE,2.0,PERSONAL,5000,9.99,0.07,2
109500,MORTGAGE,10.0,VENTURE,5000,10.95,0.05,3
24000,RENT,0.0,EDUCATION,6250,12.53,0.26,3
30000,RENT,1.0,EDUCATION,4000,11.34,0.13,3
55000,RENT,0.0,DEBTCONSOLIDATION,18000,10.38,0.33,7
52000,MORTGAGE,1.0,VENTURE,1000,6.99,0.02,7
66000,MORTGAGE,0.0,DEBTCONSOLIDATION,11200,9.32,0.17,9
110000,MORTGAGE,5.0,EDUCATION,10800,6.92,0.1,3
57200,MORTGAGE,1.0,EDUCATION,2400,7.49,0.04,2
36000,RENT,5.0,PERSONAL,5600,11.99,0.16,7
50000,RENT,1.0,EDUCATION,2400,13.49,0.05,9
104371,RENT,4.0,EDUCATION,15000,16.77,0.14,6
78500,RENT,6.0,VENTURE,8000,8.59,0.1,5
54996,RENT,7.0,EDUCATION,17500,17.19,0.32,3
48672,RENT,6.0,EDUCATION,12000,7.42,0.25,3
60000,OTHER,2.0,HOMEIMPROVEMENT,15000,11.26,0.25,6
74000,MORTGAGE,6.0,MEDICAL,5000,12.21,0.07,2
98000,RENT,9.0,DEBTCONSOLIDATION,10000,12.69,0.1,4
100000,MORTGAGE,5.0,MEDICAL,9350,7.51,0.09,14
62000,MORTGAGE,2.0,DEBTCONSOLIDATION,13000,15.27,0.21,2
36000,MORTGAGE,4.0,EDUCATION,16000,10.99,0.44,8
21000,RENT,2.0,DEBTCONSOLIDATION,3000,12.68,0.14,2
68000,RENT,1.0,HOMEIMPROVEMENT,6000,7.49,0.09,10
50000,MORTGAGE,6.0,VENTURE,17000,12.42,0.34,4
29000,OWN,0.0,PERSONAL,2000,8.49,0.07,8
65000,RENT,9.0,EDUCATION,12000,5.42,0.18,17
83000,OTHER,2.0,PERSONAL,12000,16.0,0.14,12
85000,MORTGAGE,0.0,PERSONAL,8000,11.49,0.09,28
30000,MORTGAGE,3.0,DEBTCONSOLIDATION,3800,5.79,0.13,3
32004,OWN,4.0,VENTURE,5500,8.0,0.17,9
40100,RENT,3.0,MEDICAL,7175,12.99,0.18,6
73500,RENT,0.0,HOMEIMPROVEMENT,14400,12.98,0.2,6
45000,RENT,1.0,PERSONAL,9000,11.71,0.2,12
26000,OWN,2.0,MEDICAL,6000,8.59,0.23,12
40000,OWN,5.0,VENTURE,8000,7.66,0.2,6
39996,RENT,2.0,EDUCATION,10000,8.59,0.25,4
49000,RENT,4.0,MEDICAL,5000,10.65,0.1,3
74000,RENT,3.0,MEDICAL,25000,10.36,0.34,3
30500,MORTGAGE,6.0,MEDICAL,3000,14.96,0.1,2
85000,RENT,4.0,PERSONAL,24000,7.9,0.28,6
39996,OWN,1.0,HOMEIMPROVEMENT,8000,12.53,0.2,5
138000,RENT,2.0,DEBTCONSOLIDATION,4000,11.71,0.03,10
51000,RENT,6.0,PERSONAL,7500,5.99,0.15,2
37000,RENT,7.0,EDUCATION,3600,14.11,0.1,7
33996,RENT,1.0,DEBTCONSOLIDATION,7000,13.16,0.21,3
75912,MORTGAGE,9.0,HOMEIMPROVEMENT,22400,9.99,0.3,4
39000,RENT,4.0,PERSONAL,14000,16.49,0.36,3
84000,MORTGAGE,4.0,HOMEIMPROVEMENT,17925,14.26,0.21,16
95000,RENT,8.0,EDUCATION,6500,8.49,0.07,4
30000,RENT,3.0,VENTURE,3500,14.22,0.12,4
100000,RENT,5.0,HOMEIMPROVEMENT,16000,11.12,0.16,3
27983,MORTGAGE,7.0,VENTURE,6000,7.88,0.21,3
36000,MORTGAGE,5.0,DEBTCONSOLIDATION,12000,6.03,0.33,13
35000,OWN,4.0,VENTURE,7500,11.34,0.21,9
67000,RENT,5.0,DEBTCONSOLIDATION,24000,7.49,0.36,10
165000,MORTGAGE,5.0,DEBTCONSOLIDATION,12400,11.26,0.08,8
98000,MORTGAGE,7.0,MEDICAL,12000,10.37,0.12,17
16800,RENT,0.0,HOMEIMPROVEMENT,3000,14.26,0.18,7
60000,OWN,1.0,VENTURE,2000,11.12,0.03,4
128400,MORTGAGE,3.0,PERSONAL,4000,13.35,0.03,8
10800,RENT,0.0,VENTURE,3000,16.77,0.28,11
50000,RENT,5.0,HOMEIMPROVEMENT,2500,17.04,0.05,10
63000,OTHER,2.0,DEBTCONSOLIDATION,4500,9.63,0.07,8
125000,MORTGAGE,4.0,EDUCATION,9000,6.62,0.07,10
35000,RENT,7.0,EDUCATION,3500,6.99,0.1,2
157000,MORTGAGE,8.0,PERSONAL,28000,7.49,0.18,4
70000,MORTGAGE,4.0,PERSONAL,6000,13.16,0.09,4
70000,MORTGAGE,9.0,VENTURE,20000,10.59,0.29,2
100000,MORTGAGE,4.0,EDUCATION,14000,17.58,0.14,3
51000,RENT,6.0,EDUCATION,7500,5.99,0.15,3
90000,MORTGAGE,9.0,EDUCATION,20000,6.54,0.22,3
51996,RENT,0.0,HOMEIMPROVEMENT,3400,17.58,0.07,4
77385,RENT,4.0,PERSONAL,6625,7.66,0.09,27
72000,RENT,7.0,VENTURE,5600,11.12,0.08,2
78708,RENT,7.0,MEDICAL,24000,11.12,0.3,12
50000,RENT,4.0,VENTURE,18225,10.74,0.36,3
84996,RENT,2.0,EDUCATION,4000,8.59,0.05,6
157544,MORTGAGE,8.0,VENTURE,35000,12.99,0.22,8
29232,MORTGAGE,1.0,VENTURE,11000,11.71,0.38,2
44000,OWN,2.0,VENTURE,7000,9.76,0.16,12
160000,MORTGAGE,3.0,PERSONAL,22000,10.75,0.14,8
120999,MORTGAGE,7.0,HOMEIMPROVEMENT,15200,13.61,0.13,5
54000,MORTGAGE,3.0,EDUCATION,16000,18.67,0.3,10
72000,RENT,5.0,EDUCATION,7400,15.65,0.1,3
50000,RENT,0.0,PERSONAL,10000,7.88,0.2,3
76000,MORTGAGE,9.0,DEBTCONSOLIDATION,20050,10.59,0.26,2
45000,RENT,1.0,HOMEIMPROVEMENT,6000,5.79,0.13,10
86000,MORTGAGE,10.0,VENTURE,13000,8.49,0.15,4
10000,OWN,0.0,PERSONAL,3250,11.12,0.33,9
24000,RENT,2.0,VENTURE,4000,7.75,0.17,3
90000,MORTGAGE,2.0,EDUCATION,5000,5.42,0.06,4
55080,MORTGAGE,10.0,MEDICAL,2500,7.66,0.04,3
64000,RENT,9.0,MEDICAL,14400,9.62,0.23,2
55000,MORTGAGE,3.0,DEBTCONSOLIDATION,24200,8.49,0.44,2
34008,RENT,5.0,VENTURE,3000,10.0,0.09,4
37400,RENT,0.0,DEBTCONSOLIDATION,4000,10.38,0.11,7
50004,MORTGAGE,6.0,EDUCATION,2500,12.53,0.05,2
42000,RENT,7.0,MEDICAL,5000,11.11,0.12,9
146000,MORTGAGE,5.0,VENTURE,2500,8.49,0.02,9
31920,RENT,0.0,DEBTCONSOLIDATION,5000,8.0,0.16,3
64000,RENT,9.0,PERSONAL,8000,14.22,0.13,5
67752,RENT,3.0,EDUCATION,7000,6.62,0.1,4
70000,MORTGAGE,3.0,PERSONAL,8400,6.91,0.12,9
108000,RENT,4.0,VENTURE,4300,11.83,0.04,4
85000,RENT,2.0,VENTURE,12000,13.16,0.14,4
29004,RENT,4.0,EDUCATION,5000,6.92,0.17,3
111000,RENT,7.0,EDUCATION,7000,8.0,0.06,3
74000,RENT,6.0,MEDICAL,12000,12.53,0.16,4
13380,RENT,0.0,PERSONAL,2800,14.61,0.21,2
25000,OWN,4.0,MEDICAL,17500,14.22,0.7,2
69000,RENT,1.0,MEDICAL,2000,6.99,0.03,5
45000,RENT,3.0,DEBTCONSOLIDATION,1800,14.27,0.04,15
50000,MORTGAGE,0.0,EDUCATION,10000,7.74,0.2,2
39000,MORTGAGE,1.0,VENTURE,5000,18.21,0.13,4
72000,OWN,6.0,EDUCATION,16000,10.37,0.22,2
30000,RENT,8.0,EDUCATION,10625,6.92,0.35,4
65000,MORTGAGE,0.0,PERSONAL,12000,10.62,0.18,17
130000,RENT,1.0,EDUCATION,10000,14.26,0.08,5
28989,MORTGAGE,0.0,EDUCATION,10000,8.0,0.34,2
36000,OWN,3.0,VENTURE,8000,12.53,0.22,10
115000,MORTGAGE,3.0,DEBTCONSOLIDATION,19000,13.49,0.17,4
35000,RENT,0.0,DEBTCONSOLIDATION,5600,11.11,0.16,17
63250,RENT,2.0,PERSONAL,6225,10.99,0.1,4
69000,RENT,3.0,HOMEIMPROVEMENT,10000,14.09,0.14,2
55000,RENT,0.0,PERSONAL,10000,5.42,0.18,4
65000,RENT,2.0,DEBTCONSOLIDATION,10000,5.42,0.15,14
75000,RENT,2.0,EDUCATION,14000,9.63,0.19,5
33000,RENT,1.0,MEDICAL,1400,14.27,0.04,4
28000,MORTGAGE,7.0,DEBTCONSOLIDATION,9500,15.62,0.34,2
44004,MORTGAGE,4.0,EDUCATION,9275,7.29,0.21,7
38000,MORTGAGE,3.0,DEBTCONSOLIDATION,6000,7.51,0.16,4
60000,MORTGAGE,3.0,VENTURE,3600,7.68,0.06,9
96050,MORTGAGE,7.0,MEDICAL,15200,13.85,0.13,5
65000,MORTGAGE,6.0,PERSONAL,5600,11.58,0.09,5
48000,RENT,1.0,EDUCATION,15000,18.64,0.31,3
42000,RENT,2.0,PERSONAL,4000,6.39,0.1,9
32640,RENT,7.0,VENTURE,3000,10.75,0.09,2
60000,MORTGAGE,0.0,EDUCATION,10000,11.26,0.17,3
20000,RENT,1.0,VENTURE,12000,8.07,0.6,4
72000,RENT,3.0,EDUCATION,6000,7.66,0.08,3
28560,MORTGAGE,7.0,PERSONAL,2400,6.39,0.08,8
74872,RENT,4.0,PERSONAL,15000,7.88,0.2,9
22800,RENT,5.0,EDUCATION,1775,6.99,0.08,4
24996,RENT,1.0,MEDICAL,3600,14.09,0.14,3
39000,MORTGAGE,6.0,MEDICAL,7100,8.32,0.18,5
60000,RENT,3.0,MEDICAL,7000,6.91,0.12,2
77000,RENT,2.0,PERSONAL,15000,8.38,0.19,8
36000,MORTGAGE,3.0,HOMEIMPROVEMENT,2400,10.65,0.07,10
132000,MORTGAGE,3.0,DEBTCONSOLIDATION,8000,13.49,0.06,17
33000,RENT,2.0,HOMEIMPROVEMENT,6900,17.56,0.21,3
154000,MORTGAGE,4.0,MEDICAL,12225,7.49,0.08,3
25000,RENT,6.0,MEDICAL,7500,10.99,0.3,17
30000,RENT,3.0,MEDICAL,6000,8.94,0.2,2
35000,RENT,4.0,MEDICAL,15000,13.11,0.43,9
69996,RENT,1.0,VENTURE,11000,13.79,0.16,8
40560,RENT,5.0,VENTURE,8000,7.66,0.2,2
48000,OWN,8.0,VENTURE,2200,15.27,0.05,4
35000,MORTGAGE,5.0,EDUCATION,1500,9.63,0.04,2
44000,RENT,8.0,MEDICAL,16000,7.49,0.36,2
69996,RENT,8.0,DEBTCONSOLIDATION,3500,6.62,0.05,9
85000,MORTGAGE,0.0,EDUCATION,7000,9.25,0.08,4
86000,RENT,0.0,HOMEIMPROVEMENT,9000,12.87,0.1,13
62844,RENT,7.0,HOMEIMPROVEMENT,7500,11.97,0.12,4
71000,MORTGAGE,4.0,VENTURE,4000,7.14,0.06,5
26400,RENT,5.0,EDUCATION,5300,8.49,0.2,3
37800,RENT,5.0,DEBTCONSOLIDATION,7000,11.49,0.19,16
20000,RENT,1.0,MEDICAL,12000,8.07,0.6,2
34000,RENT,0.0,PERSONAL,6000,8.9,0.18,4
50000,MORTGAGE,7.0,VENTURE,8800,11.11,0.18,4
44000,MORTGAGE,9.0,DEBTCONSOLIDATION,9800,7.49,0.22,4
30000,MORTGAGE,5.0,PERSONAL,1100,14.65,0.04,10
46000,RENT,3.0,DEBTCONSOLIDATION,7000,9.07,0.15,3
120000,MORTGAGE,1.0,VENTURE,23000,11.49,0.19,5
32000,OWN,2.0,VENTURE,6500,8.59,0.2,2
80000,RENT,0.0,HOMEIMPROVEMENT,8000,5.99,0.1,2
58000,OWN,4.0,EDUCATION,4000,11.14,0.07,10
53376,RENT,5.0,PERSONAL,10000,5.42,0.19,5
58000,MORTGAGE,7.0,VENTURE,2800,11.99,0.05,8
59000,RENT,5.0,MEDICAL,3500,8.9,0.06,3
49000,MORTGAGE,7.0,EDUCATION,4000,13.99,0.08,3
22800,RENT,0.0,MEDICAL,1500,7.29,0.07,16
44000,RENT,7.0,DEBTCONSOLIDATION,5000,5.42,0.11,7
42000,RENT,7.0,VENTURE,5000,10.99,0.12,4
90000,RENT,0.0,VENTURE,5000,14.26,0.06,13
50000,RENT,1.0,HOMEIMPROVEMENT,5000,11.49,0.1,12
60675,RENT,5.0,PERSONAL,7200,14.72,0.12,2
30000,RENT,0.0,DEBTCONSOLIDATION,2800,6.54,0.09,3
90000,RENT,1.0,EDUCATION,16000,12.42,0.18,9
40000,RENT,2.0,PERSONAL,8000,6.17,0.2,2
43000,RENT,5.0,MEDICAL,7800,7.88,0.18,2
18000,RENT,4.0,EDUCATION,3000,13.23,0.17,14
110000,MORTGAGE,5.0,PERSONAL,15000,11.11,0.14,3
60000,MORTGAGE,2.0,VENTURE,7125,9.99,0.12,7
130000,MORTGAGE,3.0,HOMEIMPROVEMENT,8000,13.49,0.06,4
30000,RENT,7.0,VENTURE,10000,11.14,0.33,2
52000,RENT,4.0,DEBTCONSOLIDATION,6000,14.22,0.12,4
67000,MORTGAGE,4.0,DEBTCONSOLIDATION,6400,13.23,0.1,7
95000,MORTGAGE,0.0,DEBTCONSOLIDATION,4000,7.14,0.04,10
50000,RENT,4.0,PERSONAL,6000,15.62,0.12,10
75000,RENT,0.0,PERSONAL,14400,12.53,0.19,15
60096,MORTGAGE,3.0,EDUCATION,3000,7.66,0.05,10
50460,OWN,4.0,VENTURE,6000,13.49,0.12,3
140000,MORTGAGE,7.0,PERSONAL,6000,13.49,0.04,3
90000,RENT,0.0,VENTURE,12000,10.99,0.13,9
156000,RENT,2.0,DEBTCONSOLIDATION,15000,12.42,0.1,4
93200,MORTGAGE,9.0,EDUCATION,25000,15.58,0.27,4
24000,RENT,2.0,MEDICAL,10625,6.03,0.44,2
77500,RENT,0.0,DEBTCONSOLIDATION,6800,10.99,0.09,3
45000,RENT,0.0,PERSONAL,7500,12.73,0.17,6
108000,RENT,2.0,MEDICAL,15000,13.57,0.14,12
81000,MORTGAGE,6.0,EDUCATION,24000,9.88,0.3,2
50950,RENT,5.0,HOMEIMPROVEMENT,20000,11.48,0.39,3
54000,MORTGAGE,3.0,MEDICAL,15250,14.42,0.28,8
74000,RENT,1.0,HOMEIMPROVEMENT,16800,15.65,0.23,3
85000,RENT,9.0,MEDICAL,10000,11.12,0.12,12
41004,RENT,8.0,EDUCATION,6000,7.68,0.15,4
71201,MORTGAGE,3.0,MEDICAL,12000,11.71,0.17,4
50004,RENT,6.0,EDUCATION,6000,7.88,0.12,5
160800,RENT,3.0,VENTURE,4800,10.99,0.03,5
30000,RENT,5.0,EDUCATION,14300,13.49,0.48,8
28000,OWN,4.0,VENTURE,12200,12.53,0.44,4
24960,RENT,0.0,VENTURE,2500,7.51,0.1,2
82000,OTHER,2.0,PERSONAL,14700,9.63,0.18,3
65000,RENT,1.0,EDUCATION,6000,12.69,0.09,13
43500,RENT,1.0,PERSONAL,3000,8.0,0.07,2
34000,RENT,0.0,VENTURE,14000,14.61,0.41,2
24216,RENT,1.0,EDUCATION,3600,16.49,0.15,3
72576,RENT,7.0,EDUCATION,9600,7.29,0.13,3
90000,RENT,0.0,MEDICAL,12000,9.38,0.13,3
25000,RENT,5.0,EDUCATION,6000,8.0,0.24,2
70550,RENT,0.0,MEDICAL,7000,15.88,0.08,3
27000,OWN,1.0,VENTURE,6000,8.0,0.22,6
69000,MORTGAGE,4.0,EDUCATION,4500,14.65,0.07,2
40000,RENT,5.0,PERSONAL,10000,11.99,0.25,4
41600,MORTGAGE,2.0,EDUCATION,3000,15.05,0.07,3
75000,MORTGAGE,8.0,DEBTCONSOLIDATION,7200,15.23,0.1,4
70000,RENT,2.0,DEBTCONSOLIDATION,3000,11.11,0.04,6
57000,MORTGAGE,4.0,DEBTCONSOLIDATION,13000,7.88,0.23,5
45000,RENT,1.0,MEDICAL,4000,12.21,0.09,2
148000,RENT,8.0,HOMEIMPROVEMENT,14000,5.42,0.09,2
75000,MORTGAGE,9.0,PERSONAL,8000,11.99,0.11,8
150000,MORTGAGE,9.0,PERSONAL,20000,8.88,0.13,4
19200,MORTGAGE,2.0,HOMEIMPROVEMENT,4750,13.61,0.25,8
63500,MORTGAGE,9.0,VENTURE,12000,15.33,0.19,9
45000,MORTGAGE,0.0,VENTURE,5000,6.62,0.11,3
75000,MORTGAGE,2.0,VENTURE,19600,15.13,0.26,3
44000,RENT,2.0,MEDICAL,10000,13.48,0.23,8
38400,MORTGAGE,6.0,EDUCATION,8000,6.62,0.21,4
42500,RENT,7.0,EDUCATION,3200,7.49,0.08,4
50000,RENT,0.0,EDUCATION,4900,8.49,0.1,3
23000,RENT,6.0,VENTURE,4850,14.27,0.21,4
55000,RENT,5.0,MEDICAL,10000,8.49,0.18,10
78000,RENT,1.0,DEBTCONSOLIDATION,14000,9.63,0.18,9
48000,RENT,2.0,VENTURE,1500,11.89,0.03,6
65000,RENT,0.0,MEDICAL,20000,10.37,0.31,2
43000,RENT,7.0,MEDICAL,14400,9.62,0.33,4
120000,RENT,3.0,PERSONAL,12000,9.01,0.1,2
32000,RENT,1.0,MEDICAL,7500,13.79,0.23,3
75000,OWN,5.0,MEDICAL,12500,15.33,0.17,3
117832,MORTGAGE,4.0,HOMEIMPROVEMENT,12500,6.17,0.11,7
54000,MORTGAGE,3.0,VENTURE,10000,9.88,0.19,2
30000,RENT,6.0,DEBTCONSOLIDATION,8000,10.74,0.27,3
66000,OWN,6.0,EDUCATION,5000,7.9,0.08,4
32496,MORTGAGE,8.0,DEBTCONSOLIDATION,4200,16.02,0.13,3
28800,MORTGAGE,7.0,VENTURE,7500,13.43,0.26,7
121000,MORTGAGE,1.0,EDUCATION,3600,11.83,0.03,3
85000,RENT,0.0,VENTURE,7200,7.68,0.08,10
145000,RENT,1.0,DEBTCONSOLIDATION,10000,10.99,0.07,3
78600,RENT,0.0,HOMEIMPROVEMENT,12800,14.11,0.16,4
170004,MORTGAGE,1.0,HOMEIMPROVEMENT,25000,16.45,0.15,13
65000,MORTGAGE,4.0,PERSONAL,9600,15.99,0.15,20
175000,MORTGAGE,2.0,DEBTCONSOLIDATION,3000,8.94,0.02,3
48000,MORTGAGE,7.0,EDUCATION,17000,6.03,0.35,8
14400,RENT,1.0,VENTURE,1000,16.29,0.07,4
20400,RENT,4.0,MEDICAL,12000,7.49,0.59,12
62900,RENT,6.0,MEDICAL,20000,14.91,0.27,4
119000,RENT,2.0,DEBTCONSOLIDATION,12000,10.36,0.1,2
52800,MORTGAGE,8.0,EDUCATION,4000,7.88,0.08,4
34500,RENT,0.0,DEBTCONSOLIDATION,10000,13.79,0.29,2
85000,MORTGAGE,5.0,EDUCATION,8000,7.14,0.09,2
54000,MORTGAGE,10.0,EDUCATION,5000,6.62,0.09,2
42240,OWN,2.0,PERSONAL,12000,11.86,0.28,6
38500,RENT,1.0,VENTURE,3000,11.48,0.08,10
54000,RENT,7.0,PERSONAL,10000,14.11,0.19,2
31200,RENT,2.0,EDUCATION,3000,11.89,0.1,2
75555,MORTGAGE,4.0,MEDICAL,10000,10.39,0.13,2
27852,OWN,0.0,PERSONAL,4200,12.84,0.15,8
17000,RENT,2.0,VENTURE,4000,14.42,0.24,8
30000,RENT,5.0,PERSONAL,8000,12.99,0.27,2
36000,RENT,2.0,DEBTCONSOLIDATION,16750,15.28,0.47,4
101000,RENT,3.0,DEBTCONSOLIDATION,20000,7.9,0.2,5
150000,MORTGAGE,9.0,EDUCATION,30000,8.9,0.2,15
35000,MORTGAGE,5.0,MEDICAL,5000,7.9,0.14,3
84000,RENT,1.0,PERSONAL,12000,6.91,0.14,2
101000,MORTGAGE,6.0,DEBTCONSOLIDATION,25000,16.15,0.25,14
56400,MORTGAGE,6.0,PERSONAL,25000,16.4,0.44,3
39800,RENT,5.0,DEBTCONSOLIDATION,2400,11.71,0.06,10
29000,RENT,0.0,HOMEIMPROVEMENT,3400,15.62,0.12,4
56208,MORTGAGE,6.0,DEBTCONSOLIDATION,12000,16.29,0.21,2
58100,RENT,1.0,DEBTCONSOLIDATION,17500,13.57,0.3,10
78885,OWN,2.0,VENTURE,20000,12.42,0.25,3
55000,MORTGAGE,2.0,DEBTCONSOLIDATION,8000,6.03,0.15,4
46500,RENT,0.0,PERSONAL,10000,14.26,0.22,3
71738,MORTGAGE,4.0,EDUCATION,11500,9.63,0.16,9
36000,RENT,3.0,EDUCATION,18500,10.91,0.51,3
70000,RENT,5.0,HOMEIMPROVEMENT,21500,9.99,0.31,3
60000,RENT,4.0,EDUCATION,12000,8.9,0.2,4
32000,RENT,1.0,MEDICAL,12000,7.29,0.38,2
52000,RENT,0.0,MEDICAL,5600,13.85,0.11,8
37000,MORTGAGE,3.0,PERSONAL,7000,6.91,0.19,13
60000,RENT,6.0,EDUCATION,2000,9.63,0.03,2
54996,MORTGAGE,1.0,MEDICAL,7000,6.92,0.13,8
156000,MORTGAGE,8.0,PERSONAL,15000,10.25,0.1,2
12000,RENT,0.0,PERSONAL,5825,6.62,0.49,4
54000,OWN,5.0,VENTURE,20000,10.74,0.37,2
57120,RENT,3.0,DEBTCONSOLIDATION,2750,10.37,0.05,5
50000,RENT,1.0,MEDICAL,6500,15.96,0.13,7
53000,RENT,2.0,EDUCATION,6500,10.65,0.12,4
30000,RENT,5.0,VENTURE,6000,12.61,0.2,5
55000,OWN,6.0,MEDICAL,18500,13.16,0.34,4
135000,MORTGAGE,1.0,VENTURE,2500,14.91,0.02,17
56004,RENT,3.0,EDUCATION,9000,14.46,0.16,5
81000,RENT,5.0,EDUCATION,3500,10.75,0.04,3
30000,MORTGAGE,4.0,PERSONAL,4300,7.9,0.14,9
